,NHSLTOT Index_ratio
11236,929.7694290455846
11237,929.7694290455846
11238,929.7694290455846
11239,929.7694290455846
11240,929.7694290455846
11241,929.7694290455846
11242,929.7694290455846
11243,929.7694290455846
11244,929.7694290455846
11245,929.7694290455846
11246,929.7694290455846
11247,929.7694290455846
11248,929.7694290455846
11249,929.7694290455846
11250,929.7694290455846
11251,929.7694290455846
11252,929.7694290455846
11253,929.7694290455846
11254,929.7694290455846
11255,929.7694290455846
11256,929.7694290455846
11257,929.7694290455846
11258,929.7694290455846
11259,929.7694290455846
11260,929.7694290455846
11261,929.7694290455846
11262,929.7694290455846
11263,929.7694290455846
11264,929.7694290455846
11265,929.7694290455846
11266,929.7694290455846
11267,929.7694290455846
11268,929.7694290455846
11269,929.7694290455846
11270,929.7694290455846
11271,929.7694290455846
11272,929.7694290455846
11273,929.7694290455846
11274,929.7694290455846
11275,929.7694290455846
11276,929.7694290455846
11277,929.7694290455846
11278,929.7694290455846
11279,929.7694290455846
